,name,date,score,isin,parameter
6970,RWE ,2023-05-01,,DE0007037129, ESG Score
6971,RWE ,2023-06-01,,DE0007037129, ESG Score
6972,RWE ,2023-07-01,,DE0007037129, ESG Score
6973,RWE ,2023-08-01,,DE0007037129, ESG Score
6974,RWE ,2023-09-01,,DE0007037129, ESG Score
44550,DEUTSCHE BANK ,2005-01-01,51.64,DE0005140008, ESG Score
44551,DEUTSCHE BANK ,2005-02-01,76.62,DE0005140008, ESG Score
44552,DEUTSCHE BANK ,2005-03-01,76.62,DE0005140008, ESG Score
44553,DEUTSCHE BANK ,2005-04-01,76.62,DE0005140008, ESG Score
44554,DEUTSCHE BANK ,2005-05-01,76.62,DE0005140008, ESG Score
44555,DEUTSCHE BANK ,2005-06-01,76.62,DE0005140008, ESG Score
44556,DEUTSCHE BANK ,2005-07-01,76.62,DE0005140008, ESG Score
44557,DEUTSCHE BANK ,2005-08-01,76.62,DE0005140008, ESG Score
44558,DEUTSCHE BANK ,2005-09-01,76.62,DE0005140008, ESG Score
44559,DEUTSCHE BANK ,2005-10-01,76.62,DE0005140008, ESG Score
44560,DEUTSCHE BANK ,2005-11-01,76.62,DE0005140008, ESG Score
44561,DEUTSCHE BANK ,2005-12-01,76.62,DE0005140008, ESG Score
44562,DEUTSCHE BANK ,2006-01-01,76.62,DE0005140008, ESG Score
44563,DEUTSCHE BANK ,2006-02-01,79.0,DE0005140008, ESG Score
44564,DEUTSCHE BANK ,2006-03-01,79.0,DE0005140008, ESG Score
44565,DEUTSCHE BANK ,2006-04-01,79.0,DE0005140008, ESG Score
44566,DEUTSCHE BANK ,2006-05-01,79.0,DE0005140008, ESG Score
44567,DEUTSCHE BANK ,2006-06-01,79.0,DE0005140008, ESG Score
44568,DEUTSCHE BANK ,2006-07-01,79.0,DE0005140008, ESG Score
44569,DEUTSCHE BANK ,2006-08-01,79.0,DE0005140008, ESG Score
44570,DEUTSCHE BANK ,2006-09-01,79.0,DE0005140008, ESG Score
44571,DEUTSCHE BANK ,2006-10-01,79.0,DE0005140008, ESG Score
44572,DEUTSCHE BANK ,2006-11-01,79.0,DE0005140008, ESG Score
44573,DEUTSCHE BANK ,2006-12-01,79.0,DE0005140008, ESG Score
44574,DEUTSCHE BANK ,2007-01-01,79.0,DE0005140008, ESG Score
44575,DEUTSCHE BANK ,2007-02-01,77.73,DE0005140008, ESG Score
44576,DEUTSCHE BANK ,2007-03-01,77.73,DE0005140008, ESG Score
44577,DEUTSCHE BANK ,2007-04-01,77.73,DE0005140008, ESG Score
44578,DEUTSCHE BANK ,2007-05-01,77.73,DE0005140008, ESG Score
44579,DEUTSCHE BANK ,2007-06-01,77.73,DE0005140008, ESG Score
44580,DEUTSCHE BANK ,2007-07-01,77.73,DE0005140008, ESG Score
44581,DEUTSCHE BANK ,2007-08-01,77.73,DE0005140008, ESG Score
44582,DEUTSCHE BANK ,2007-09-01,77.73,DE0005140008, ESG Score
44583,DEUTSCHE BANK ,2007-10-01,77.73,DE0005140008, ESG Score
44584,DEUTSCHE BANK ,2007-11-01,77.73,DE0005140008, ESG Score
44585,DEUTSCHE BANK ,2007-12-01,77.73,DE0005140008, ESG Score
44586,DEUTSCHE BANK ,2008-01-01,77.73,DE0005140008, ESG Score
44587,DEUTSCHE BANK ,2008-02-01,75.0,DE0005140008, ESG Score
44588,DEUTSCHE BANK ,2008-03-01,75.0,DE0005140008, ESG Score
44589,DEUTSCHE BANK ,2008-04-01,75.0,DE0005140008, ESG Score
44590,DEUTSCHE BANK ,2008-05-01,75.0,DE0005140008, ESG Score
44591,DEUTSCHE BANK ,2008-06-01,75.0,DE0005140008, ESG Score
44592,DEUTSCHE BANK ,2008-07-01,75.0,DE0005140008, ESG Score
44593,DEUTSCHE BANK ,2008-08-01,75.0,DE0005140008, ESG Score
44594,DEUTSCHE BANK ,2008-09-01,75.0,DE0005140008, ESG Score
44595,DEUTSCHE BANK ,2008-10-01,75.0,DE0005140008, ESG Score
44596,DEUTSCHE BANK ,2008-11-01,75.0,DE0005140008, ESG Score
